"QB","Overall","Player","Team","Bye","ESPN","Yahoo","MFL","Fantrax","FFC","Sleeper","AVG"
"1","13","Aaron Rodgers","NYJ","10","1","","1","","2","","1.3"
"2","12","Drew Brees","","","2","","2","","1","","1.7"
"3","19","Peyton Manning","","","3","","3","","3","","3.0"
"4","31","Tom Brady","","","4","","4","","4","","4.2"
"5","36","Cam Newton","","","5","","5","","5","","5.0"
"6","39","Matt Ryan","","","6","","6","","6","","5.8"
"7","51","Colin Kaepernick","","","7","","7","","7","","7.7"
"8","60","Matthew Stafford","LAR","","9","","8","","8","","8.2"
"9","61","Andrew Luck","","","11","","9","","9","","9.0"
"10","66","Robert Griffin III","","","8","","10","","10","","9.7"
"11","74","Russell Wilson","DEN","9","10","","11","","12","","11.2"
"12","71","Tony Romo","","","12","","12","","11","","11.3"
"13","94","Eli Manning","","","13","","13","","14","","13.2"
"14","105","Michael Vick","","","14","","14","","13","","14.2"
"15","112","Andy Dalton","CAR","4","18","","15","","15","","15.7"
"16","127","Ben Roethlisberger","","","15","","16","","18","","17.0"
"17","134","Jay Cutler","","","20","","18","","16","","17.8"
"18","133","Carson Palmer","","","21","","21","","17","","18.5"
"19","136","Joe Flacco","","","17","","17","","20","","18.8"
"20","141","Matt Schaub","","","16","","19","","19","","19.0"
"21","150","Sam Bradford","","","19","","20","","21","","20.3"
"22","154","Philip Rivers","","","22","","23","","24","","21.8"
"23","161","Josh Freeman","","","24","","22","","25","","23.0"
"24","168","Alex Smith","","","23","","24","","22","","23.7"
"25","186","E.J. Manuel","","","26","","26","","23","","25.5"
"26","191","Ryan Tannehill","TEN","8","25","","25","","","","24.6"
"27","218","Brandon Weeden","","","28","","27","","","","26.8"
"28","238","Jake Locker","","","29","","28","","","","28.8"
"29","240","Christian Ponder","","","30","","29","","","","29.0"
"30","279","Terrelle Pryor Sr.","","","27","","31","","","","29.0"
"31","281","Geno Smith","SEA","12","31","","30","","","","30.7"
"32","311","Blaine Gabbert","KC","10","33","","33","","","","33.3"
"33","305","Kirk Cousins","MIN","5","37","","32","","","","33.7"
"34","314","Nick Foles","","","36","","34","","","","35.0"
"35","315","Matt Flynn","","","38","","35","","","","35.3"
"36","338","Tim Tebow","","","32","","","","","","34.0"
"37","360","Mark Sanchez","","","34","","","","","","37.0"
"38","340","Ryan Fitzpatrick","","","41","","","","","","39.5"
"39","339","Ryan Mallett","","","43","","","","","","40.0"
"40","361","Chad Henne","","","39","","","","","","40.0"
"41","398","Jeff Tuel","","","35","","","","","","40.5"
"42","370","Matt Cassel","","","40","","","","","","41.0"
"43","343","Donovan McNabb","","","51","","","","","","45.0"
"44","400","Vince Young","","","46","","","","","","46.5"
"45","410","Daunte Culpepper","","","42","","","","","","47.5"
"46","404","Mark Brunell","","","50","","","","","","49.5"
"47","435","Matt Hasselbeck","","","44","","","","","","51.5"
"48","384","Tyler Wilson","","","59","","","","","","51.5"
"49","409","Jon Kitna","","","53","","","","","","52.5"
"50","414","Derek Anderson","","","52","","","","","","53.0"
"51","461","Bruce Gradkowski","","","47","","","","","","55.0"
"52","377","Colt McCoy","ARI","9","70","","","","","","56.5"
"53","","Jason Campbell","","","45","","","","","","45.0"
