"QB","Overall","Player","Team","Bye","ESPN","Yahoo","MFL","Fantrax","FFC","Sleeper","AVG"
"1","7","Peyton Manning","","","1","1","","","1","","1.0"
"2","12","Drew Brees","","","3","2","","","2","","2.2"
"3","14","Aaron Rodgers","NYJ","11","2","3","","","3","","2.8"
"4","36","Matthew Stafford","LAR","","4","4","","","4","","4.2"
"5","38","Andrew Luck","","","5","6","","","5","","5.2"
"6","51","Tom Brady","","","8","10","","","6","","7.2"
"7","53","Nick Foles","","","7","8","","","8","","7.8"
"8","59","Matt Ryan","","","12","5","","","7","","8.4"
"9","60","Cam Newton","","","6","7","","","11","","8.4"
"10","71","Robert Griffin III","","","9","9","","","14","","11.2"
"11","79","Tony Romo","","","13","11","","","10","","11.2"
"12","76","Colin Kaepernick","","","10","14","","","12","","11.2"
"13","91","Jay Cutler","","","15","12","","","9","","12.4"
"14","86","Russell Wilson","DEN","4","11","13","","","15","","13.0"
"15","95","Philip Rivers","","","14","15","","","13","","13.8"
"16","128","Ben Roethlisberger","","","18","16","","","17","","16.6"
"17","114","Andy Dalton","CAR","12","16","18","","","16","","16.8"
"18","140","Alex Smith","","","17","20","","","","","18.8"
"19","157","Carson Palmer","","","21","26","","","18","","21.6"
"20","149","Joe Flacco","","","19","21","","","","","21.0"
"21","161","Eli Manning","","","20","23","","","","","21.8"
"22","163","Ryan Tannehill","TEN","9","22","25","","","","","22.3"
"23","164","Johnny Manziel","","","23","22","","","","","22.5"
"24","173","Sam Bradford","","","","19","","","","","19.5"
"25","184","Michael Vick","","","","17","","","","","20.5"
"26","193","Teddy Bridgewater","","","","","","","","","23.0"
"27","191","Josh McCown","","","25","24","","","","","25.0"
"28","198","Derek Carr","NO","6","24","","","","","","24.0"
"29","207","Geno Smith","SEA","4","","","","","","","25.0"
"30","231","E.J. Manuel","","","","","","","","","28.0"
"31","243","Jake Locker","","","","","","","","","29.0"
"32","245","Ryan Fitzpatrick","","","","","","","","","30.0"
""
""
